Scopus Source ID,Title,CiteScore,Subject code,Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Print ISSN,E-ISSN,Science code
23340,Chemical Reviews,54.26,1600,General Chemistry,Quartile1,Top 10%,92665,15206890,16
23350,Chemical Society Reviews,41.35,1600,General Chemistry,Quartile1,Top 10%,3060012,14604744,16
29719,Reviews of Modern Physics,39.2,3100,General Physics and Astronomy,Quartile1,Top 10%,346861,15390756,31
17900156715,IEEE Communications Surveys and Tutorials,33.62,2208,Electrical and Electronic Engineering,Quartile1,Top 10%,1553877X,,22
17899,Progress in Materials Science,28.12,2500,General Materials Science,Quartile1,Top 10%,796425,,25
12010,Annual Review of Psychology,27.3,3200,General Psychology,Quartile1,Top 10%,664308,15452085,32
26978,Advances in Physics,26.47,3104,Condensed Matter Physics,Quartile1,Top 10%,18732,14606976,31
16801,Annual Review of Biochemistry,25.59,1303,Biochemistry,Quartile1,Top 10%,664154,15454509,13
29229,Physics Reports,24.94,3100,General Physics and Astronomy,Quartile1,Top 10%,3701573,,31
18434,Cell,24.38,1300,"General Biochemistry, Genetics and Molecular Biology",Quartile1,Top 10%,928674,10974172,13
21100228100,Advances in Optics and Photonics,21.2,3107,"Atomic and Molecular Physics, and Optics",Quartile1,Top 10%,19438206,,31
22657,Accounts of Chemical Research,20.1,1600,General Chemistry,Quartile1,Top 10%,14842,15204898,16
18990,Nature Genetics,19.88,1311,Genetics,Quartile1,Top 10%,10614036,,13
28677,Living Reviews in Relativity,19.77,3101,Physics and Astronomy (miscellaneous),Quartile1,Top 10%,14338351,,31
15819,Nature Medicine,19.14,1300,"General Biochemistry, Genetics and Molecular Biology",Quartile1,Top 10%,10788956,,13
13443,Psychological Bulletin,17.88,3200,General Psychology,Quartile1,Top 10%,332909,,32
29709,Reports on Progress in Physics,17.7,3100,General Physics and Astronomy,Quartile1,Top 10%,344885,13616633,31
20786,Bell Labs Technical Journal,17.25,2208,Electrical and Electronic Engineering,Quartile1,Top 10%,10897089,15387305,22
28599,Reviews of Geophysics,17.24,1908,Geophysics,Quartile1,Top 10%,87551209,,19
17437,Nature Reviews Neuroscience,16.94,2800,General Neuroscience,Quartile1,Top 10%,1471003X,14710048,28
17436,Nature Neuroscience,16.74,2800,General Neuroscience,Quartile1,Top 10%,10976256,,28
14181,Annual Review of Neuroscience,16.69,2800,General Neuroscience,Quartile1,Top 10%,0147006X,15454126,28
11300153736,Annual Review of Pathology: Mechanisms of Disease,16.61,2734,Pathology and Forensic Medicine,Quartile1,Top 10%,15534006,15534014,27
120008,Annual Review of Physiology,16.21,1314,Physiology,Quartile1,Top 10%,664278,15451585,13
15847,New England Journal of Medicine,16.1,2700,General Medicine,Quartile1,Top 10%,284793,15334406,27
19700188395,Annual Review of Marine Science,15.47,1910,Oceanography,Quartile1,Top 10%,19411405,19410611,19
21206,Nature,15.21,1000,Multidisciplinary,Quartile1,Top 10%,280836,14764687,10
23571,Science,15.21,1000,Multidisciplinary,Quartile1,Top 10%,368075,,10
19066,Trends in Cell Biology,14.13,1307,Cell Biology,Quartile1,Top 10%,9628924,,13
19409,Advanced Drug Delivery Reviews,13.9,3003,Pharmaceutical Science,Quartile1,Top 10%,0169409X,,30
13969,"Psychological Science in the Public Interest, Supplement",13.68,3200,General Psychology,Quartile1,Top 10%,15291006,,32
12812,Personality and Social Psychology Review,13.02,3207,Social Psychology,Quartile1,Top 10%,10888683,15327957,32
4000151822,Nature Physics,13.01,3100,General Physics and Astronomy,Quartile1,Top 10%,17452473,,31
27498,Annual Review of Medicine,12.98,1300,"General Biochemistry, Genetics and Molecular Biology",Quartile1,Top 10%,664219,1545326X,13
19014,Nature Cell Biology,12.93,1307,Cell Biology,Quartile1,Top 10%,14657392,,13
19584,Annual Review of Public Health,12.9,2739,"Public Health, Environmental and Occupational Health",Quartile1,Top 10%,1637525,15452093,27
26555,Annual Review of Physical Chemistry,12.69,1606,Physical and Theoretical Chemistry,Quartile1,Top 10%,0066426X,15451593,16
5800207366,Nature Protocols,12.65,1300,"General Biochemistry, Genetics and Molecular Biology",Quartile1,Top 10%,17542189,,13
16512,Review of Educational Research,12.31,3304,Education,Quartile1,Top 10%,346543,,33
