Scopus Source ID,Title,CiteScore,Subject code,Scopus Sub-Subject Area,Quartile,Top 10% (CiteScore Percentile),Print ISSN,E-ISSN,Science code
25522,Tsinghua Science and Technology,2.32,1000,Multidisciplinary,Quartile1,,10070214,,10
20699,Current Science,0.64,1000,Multidisciplinary,Quartile2,,113891,,10
14038,Shanghai Jiaotong Daxue Xuebao/Journal of Shanghai Jiaotong University,0.32,1000,Multidisciplinary,Quartile3,,10062467,,10
21753,New Scientist,0.05,1000,Multidisciplinary,Quartile4,,2624079,,10
13768,BioScience,4.3,1100,General Agricultural and Biological Sciences,Quartile1,Top 10%,63568,,11
86245,Precision Agriculture,3.41,1100,General Agricultural and Biological Sciences,Quartile1,Top 10%,13852256,15731618,11
13048,Polar Biology,1.96,1100,General Agricultural and Biological Sciences,Quartile1,,7224060,14322056,11
14301,Symbiosis,1.87,1100,General Agricultural and Biological Sciences,Quartile1,,3345114,18787665,11
13255,Biological Bulletin,1.5,1100,General Agricultural and Biological Sciences,Quartile2,,63185,,11
54288,Animal Science Journal,1.41,1100,General Agricultural and Biological Sciences,Quartile2,,13443941,,11
13916,Historical Biology,1.3,1100,General Agricultural and Biological Sciences,Quartile2,,8912963,15635236,11
18748,Acta Amazonica,1.27,1100,General Agricultural and Biological Sciences,Quartile2,,445967,,11
18800156710,Journal of Agricultural Science and Technology,1.09,1100,General Agricultural and Biological Sciences,Quartile2,,16807073,23453737,11
13841,Brazilian Journal of Biology,1.05,1100,General Agricultural and Biological Sciences,Quartile2,,15196984,,11
10900153321,International Journal of Agriculture and Biology,0.94,1100,General Agricultural and Biological Sciences,Quartile2,,15608530,18149596,11
19093,Acta Protozoologica,0.84,1100,General Agricultural and Biological Sciences,Quartile2,,651583,16890027,11
13567,Revista de Biologia Tropical,0.63,1100,General Agricultural and Biological Sciences,Quartile3,,347744,,11
17600155203,Acta Biologica Colombiana,0.61,1100,General Agricultural and Biological Sciences,Quartile3,,0120548X,,11
13669,Proceedings of the Biological Society of Washington,0.48,1100,General Agricultural and Biological Sciences,Quartile3,,0006324X,,11
69053,Ciencia e Investigacion Agraria,0.47,1100,General Agricultural and Biological Sciences,Quartile3,,3045609,,11
19700175253,Bioscience Journal,0.4,1100,General Agricultural and Biological Sciences,Quartile3,,15163725,19813163,11
21100264507,Revista Peruana de Biologia,0.4,1100,General Agricultural and Biological Sciences,Quartile3,,15610837,17279933,11
4000151615,Agriculturae Conspectus Scientificus,0.29,1100,General Agricultural and Biological Sciences,Quartile4,,13317768,13317776,11
12100154830,Bioagro,0.26,1100,General Agricultural and Biological Sciences,Quartile4,,13163361,,11
13592,Theoretical Biology Forum,0.15,1100,General Agricultural and Biological Sciences,Quartile4,,356050,,11
20494,Victorian Naturalist,0.15,1100,General Agricultural and Biological Sciences,Quartile4,,425184,,11
23692,"Bulletin of the Kanagawa Prefectural Museum, Natural Science",0.09,1100,General Agricultural and Biological Sciences,Quartile4,,4531906,,11
16154,Annals of Agri Bio Research,0.08,1100,General Agricultural and Biological Sciences,Quartile4,,9719660,,11
13016,Annals of Biology,0.06,1100,General Agricultural and Biological Sciences,Quartile4,,9700153,,11
21100200207,Biologie in Unserer Zeit,0.03,1100,General Agricultural and Biological Sciences,Quartile4,,0045205X,,11
25697,Journal of Pest Science,4.97,1102,Agronomy and Crop Science,Quartile1,Top 10%,16124758,16124766,11
15639,Agronomy Journal,2.17,1102,Agronomy and Crop Science,Quartile1,,21962,14350645,11
13013,Annals of Applied Biology,1.96,1102,Agronomy and Crop Science,Quartile1,,34746,,11
38753,Crop Science,1.82,1102,Agronomy and Crop Science,Quartile2,,0011183X,14350653,11
4300151409,Plant Pathology Journal,1.66,1102,Agronomy and Crop Science,Quartile2,,15982254,20939280,11
22585,Journal of Nematology,1.37,1102,Agronomy and Crop Science,Quartile2,,0022300X,,11
60896,Sugar Tech,1.27,1102,Agronomy and Crop Science,Quartile2,,9721525,,11
16619,Plant Production Science,1.26,1102,Agronomy and Crop Science,Quartile2,,1343943X,13491008,11
